cascade_id,maj_label,hate_dummy,cascade_size,cascade_lifetime,cascade_structural_virality,followers_count,following_count,verified_dummy,root_account_age,tweet_count_byage,media_dummy,mention_dummy,hashtag_dummy,tweet_length,tweet_uncleaned_length,WC,i,you,shehe,we,they,pronoun,ppron,ipron,i_count,you_count,shehe_count,we_count,they_count,pronoun_count,ppron_count,ipron_count,second_person_dummy,directed_dummy,sentiment
0,normal,0,1,0,0.0,296,321,0,3083.384259259259,0.96,0,0,0,113,112,22,9.09,0.0,4.55,0.0,0.0,22.73,13.64,9.09,2,0,1,0,0,5,3,2,0,0,0.153
1,normal,0,1,0,0.0,650,475,0,4664.131840277778,7.5,1,0,1,94,100,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.421
2,normal,0,1,0,0.0,518,2327,0,4462.194756944445,9.81,1,0,0,88,88,14,0.0,0.0,7.14,0.0,0.0,7.14,7.14,0.0,0,0,1,0,0,1,1,0,0,0,0.0
3,normal,0,1,0,0.0,50,41,0,2172.1224189814816,0.09,1,0,1,63,86,12,0.0,0.0,8.33,0.0,0.0,8.33,8.33,0.0,0,0,1,0,0,1,1,0,0,0,0.0
4,normal,0,1,0,0.0,1876,1568,0,3128.170324074074,1.51,1,1,0,106,117,22,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0,0,0,0,0,1,0,1,0,0,0.796
5,normal,0,2,0,1.0,38599,25,1,4628.8481365740745,4.71,1,0,1,85,100,19,0.0,0.0,0.0,0.0,0.0,10.53,0.0,10.53,0,0,0,0,0,2,0,2,0,0,0.586
6,normal,0,1,0,0.0,2052,3023,0,2880.8709027777777,64.88,1,0,1,101,114,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.25
7,normal,0,1,0,0.0,122,49,0,3822.679178240741,0.9,1,0,0,112,112,25,4.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,1,0,0,0,0,2,1,1,0,0,0.67
8,normal,0,2,0,1.0,3037,1606,0,4956.863946759259,5.46,1,0,0,92,92,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.361
9,normal,0,1,0,0.0,577,204,0,4816.943784722223,1.42,0,0,0,128,128,25,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1,0,0,0,0,1,1,0,0,0,-0.318
